strategy,root_seed,architecture,parameter_count,epochs_executed,training_trajectories,best_validation_epoch,best_validation_score,selected_across_agents,weight_path,weight_file_sha256,canonical_tensor_sha256,reload_witness,terminal_path,terminal_file_sha256,terminal_reload_witness,validation_candidate_count,validation_candidate_reload_witness,training_lineage_reload_witness,training_lineage_genesis_sha256,training_lineage_terminal_sha256,training_lineage_ledger_sha256,initial_state_sha256,initial_optimizer_sha256,initial_rng_sha256,terminal_state_sha256,terminal_optimizer_sha256,terminal_rng_sha256,validation_candidate_physics_replay_witness,validation_candidate_physics_replay_maximum_error,validation_candidate_physics_replay_ledger_sha256,training_runtime_signature_sha256,training_gpu_attestation_sha256,training_gpu_attestation_purpose,training_gpu_attestation_transaction_id,training_gpu_attestation_target_uuid,training_gpu_attestation_target_name,training_gpu_attestation_target_total_memory_mib,training_gpu_attestation_sampling_completed_at_utc,training_gpu_attestation_expires_at_utc,failure_state
mf,910001,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,840,0.4029293454082895,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910001.npz,3b8c17f594fb601cd78de2788cd946ea7e5bcf693705b8dd709ec0401d1ada60,408850c01aef4a61f77f34aa13652a0e11358fcda24f7fdc5c0d3a812058dd1b,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910001.terminal.pt,b6c4ae240904fb3c6b8672bd874d62b773adc169f184b97d4422141493d423af,True,26,True,True,d465b8ebc512bc524a220df4a9d885d1a1cb2f533c9cbc2bed70350acff32781,f53644c14ab3d4f8fec532c65c4798c0c03a6edfd99240801180cd7a9f00fb03,d940e320759d5462deb9c57ac619fb78306f59078bb79e3d1372423e62460433,43802b3ecdc32cfd76590c173d40f37dc9fda6b04a3c906905195e17c1a7b9bf,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,a5434bd4d9a7997ab88536b29ac7deabba41ae5c72523345c185afc746175de2,d66cadfc0f7cb6ef3228eaf1508c51a35943fa7a2ecd75deb7bea674ff00d0fc,4906a18db6506e6a05fe233469eb45613c5c3d92ad75978dbca7e342be924c37,a5434bd4d9a7997ab88536b29ac7deabba41ae5c72523345c185afc746175de2,True,0.0,4051b8717067f872a3cc9735032b21a305ef4df1737b27d354e1b2b0992bff75,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910019,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,560,0.41266497933620794,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910019.npz,9272dae8fe41aec9cb964bd9ee9b3097e384f683c59911a97e0b275619375f30,148158630af52e30c0e8c916df2b9bad650de60e3a9742b83be0151a1d5487e6,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910019.terminal.pt,8fd49b50a67f532ae0460345140f06f52cca7dbefca5988eb520fa03fe327506,True,26,True,True,e9e1edfbfa11cb4061b874af6baaabb794a77634f0e60f2c8433d679e867c4ba,c23598f593516aa78d89f55f03201afd12edd9f15729edd5eac7cf0e636196d4,7bb21fcb9e34583d29991aba12639e11d46a8bf7ed5c726f0b93d0152ee84c39,25af1e06ea1de0d20565ea68497fe3637d33c1bc329267e28a5d8e2f6d678072,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,09592cefe07708f5d33011d86f808c9460fc2bc5f8fb231cbf38d176a0c41a5c,20a3e8a80155aa449e6ef928b26e95e08383d76ae57af4fd232302d7a5f4cfb2,0773ee70c0af4375bad13db19670254e4d73e270245a75ca5ddb240bbb643ac2,09592cefe07708f5d33011d86f808c9460fc2bc5f8fb231cbf38d176a0c41a5c,True,0.0,55eb1d8f207b4fa0d2b04ce1b7540a6df5973c8068686f0abf789ca6e1f9feab,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910033,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,800,0.40028865927138746,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910033.npz,fd1835c5afafe325ce237c210d33f1dc945d2f103f47ac857821a13cc26bf72f,7aaa21e269e668f8084b2172a0d0262bd3557281e25a6e6eb64b4a2276df383d,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910033.terminal.pt,7cfbc702f4510a555d0bd3dd2897b93c5bc51d771db6e99cfeb106b9f7791328,True,26,True,True,badf4da004a62ed37ccd04fc9cce1e313103c649635d6f92049244aefaa2c963,041d3ea8035e4a9a567b5874642c3eb5b966fb4c31885145e1982a5fd0976463,6148c0ed2aa2287a950ce3fe7ba1c6e1333c5d50cdbf1a40ba02b6a92439ccd2,023de82b193fb7f4467754598da53a7e774dde62e70743729accacd2d914f375,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,ebf2aace33a31dbf607b57b87386fefba3673218de2041feec10f370b8cfd898,2fa19b75264f9368d0e742e6aeeda62debeac2415120026798d5b09fc25214f5,b248f401d7a612c2d2a871a590417cd9ab6699b7722765279ef91efb4368f7c6,ebf2aace33a31dbf607b57b87386fefba3673218de2041feec10f370b8cfd898,True,0.0,f147808d418a53890d317845d1cd20b79185ad2716f6696d58021a20d8d8a560,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910051,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,1000,0.41206837336512586,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910051.npz,e58604c09301df787e06d9ac00790706323e162e0b0771d940d76ce2bf785f8e,8db58e5843ad239f71b078b9764922eff94a630b8af670d26d73c1ce28367d69,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910051.terminal.pt,0a8c7007bd24f18c3b4a1c78a060368f317a5ad87ddfeae787ec1490ea050f8f,True,26,True,True,9efae33794278ca6aca49ff12169d47a2ff885823141bda3eb7c9aba7906a4e5,8fc9e8c7f4ad6ea0948a2beb002a9ef757019b6797ef00106a064fa15dae84bc,02b378a9013cfc2eb9d4d71c3b50416a465100a5e32a87c7ee6ba58b7ef5056a,ffb9c0f7df9c88ef248d58ed2c8af442cc763b055ead701d53291dbe708b13c1,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,5e382c92a765f1f430821ad7edac737b5ac1ee7d12b18b69aa4e1e8796b30dc8,8db58e5843ad239f71b078b9764922eff94a630b8af670d26d73c1ce28367d69,d6ab106a453e3e3920aa76f9dac76a22e6eb187238b1b4d84e4ed0a441362ad3,5e382c92a765f1f430821ad7edac737b5ac1ee7d12b18b69aa4e1e8796b30dc8,True,0.0,7b281af7ee0b765a568c8b3c7cf557f205aeaf525c6f98716c594f99265f326d,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910069,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,680,0.40470279009159316,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910069.npz,1b73947a6b1c8d99504af5c1a1fd9718fe33b62b0162397da1dab488d97f14e2,c1480c416fd31f239450e7046991d037c63f0bb1538d3e12e3a648d1c91755e8,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910069.terminal.pt,ad463e3690a2a6eb240f459df988fc4d7c392aa32bbf777f45f37f2dd1fe5a80,True,26,True,True,7c313705501a0c20e2151d0f31eadbc22aa02e6ea3557a77a975a29dd9fc9637,325978b19cd2b6aa4196d09737dd674725c5cae6ba348d60483f87f5a6f5c527,fa62cc89cf35a2672951402b50162b072c96b2dd180a2bdb6a3203d212e6574e,1711f7786b83256697804fcdaf214fbed3b8a0a9dbe03b27029cf3647d8db22a,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,c90331f636c086144e14d0bacffd64eba0188688927c387aea48db9a751f4902,d7b9ff4509dd40637ed2ef8b7cc524f35eb4bd70e8695e5cb51261b50c41743c,90247539ea3ea8cdc5502bd83861c3eb99b50b45da5c93ce81e9414cd53ff5ab,c90331f636c086144e14d0bacffd64eba0188688927c387aea48db9a751f4902,True,0.0,7741ba9217048d9e44210dbe866434b55c5942cc2928957d1649b260f3d0e786,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910079,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,840,0.4060346970426421,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910079.npz,3570481f8c6fca88c7d25a19caec9e6aca53d6368978da4588376260595f2977,dc1e42f469e76be4b0363e52f229e242311479c66029a993ffe19adfca128c58,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910079.terminal.pt,0ac255af96ccf1a072c462ab2bc3b9aa859fc6f55e7ee76af327137e16451e30,True,26,True,True,c8b35de37c4ec4dcdcdb21eb83a4ca9c2f5089adccdb6340ff6478b8526fe8ca,628b5cd7061f64fe4f05bcc9e9da6f068fc76ac1a455483b9ed8c89ae98bfce6,3fb6dbc6a3d0dc4e94efd86ae0bbd5051ff3ecbca4aa83bae47fd4757c720d60,068d4e3d6ef7fc0a226aa67e37993de00e1040e134f6360390ca8aa900dc6c54,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,393072f6a5114a9acd7487f61232c762859fc24732d3d9b98169487840622352,3192f27ea1df9480a6c57a975571a98e0ea70f4f908e7a4cb92bc4e44189d711,9252134d1f25c5f0da698eedb0674ee2c71eb97553a9d3e26a5129e3b0ecb0e9,393072f6a5114a9acd7487f61232c762859fc24732d3d9b98169487840622352,True,0.0,d6666cc74e56f0a6ab783861da55e81b008288106d8271d61fd90620fd2a2e78,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910099,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,920,0.40233131710789705,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910099.npz,b679f1fbb8e4d8265a8d8f6dbeb33e21dcf73ccf52b91d72f6f04f2f04da1835,9a4421167054979840ee72ce710f837fc33e3044af6df96aa3da16f36b8f271c,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910099.terminal.pt,154ad328ea71c323ab3747a220dbdddee0cbb476189657f9b61b792367c70477,True,26,True,True,08c7152c08866310f9ea5e05dc0b9aa6f20b201dbfc95512cf3a4f16042866bb,a085b828404fca8651b8780325ea47babcb19ab5b888a08893ab302341b6daf3,56e3217febe077c8d59a9b5654ad0f98fedda5df068a6b9e230eb927d8ea0e47,48298469b6a6219a25d271b37697079b6280479fd256763dc619826e5acf5c28,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,7e70d00baa3da89438628e69f17ca129237b747eafb073c47b61bfb38ec609f5,dc520820d4012012c2f9b34570fda68954d6de81c147c69a8eaffa9ebda79990,ecf5dbac330f8f80f6b249fd02387cf75475d6256d233a978738afdf5a19b9be,7e70d00baa3da89438628e69f17ca129237b747eafb073c47b61bfb38ec609f5,True,0.0,537efaf4376ca51c49455fb9392240f0bb62ba2158ebcac8c54ed2aa22335559,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910103,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,800,0.4140613067457595,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910103.npz,f1b9dd212ab1a516e5d239d6670c1ca0e4938a9cfdca2940512efd383bfdcfb1,bb5bca7022cea51dc8e79719df4aa9feb5a526fcf23f1ab90477a0b54aa6ebd0,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910103.terminal.pt,932b2d31a3e922a8a4c0b86a94179753e2e409ebbbc6620e5395199c0fb4f412,True,26,True,True,e17624f0918a4a3af53708881985ace54f49e1ef0e37384304046e4ea338b97b,c3fb805c6a7147f224b3ece5c2e363225f21417049150cbd4c156c2770642d2b,bf56f2e7222d9d32d50a7c6b7fdb1903b2e87810306bc0846575c5d7cd59a3ee,b71e2d3eb3f5599b08817ab9c47bb79c83b11998e4b21590abb52527e637a8c3,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,d438d2aae1899c37e93cc51a6d71b3463cf69acf4b102315d064838b9b119b76,311d16312c377d487e2cc855cfd8b92db02b55a3b5b914a18e468ae8487d94ea,e908b644a96973914569fc01b9ce5f8571c0537e1744c261d59496a542fffe28,d438d2aae1899c37e93cc51a6d71b3463cf69acf4b102315d064838b9b119b76,True,0.0,56d0b18b85dd98c31d0f8b92a09295e7675fc132e99e8d89f292401e75bb8e67,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910121,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,680,0.4170156127329672,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910121.npz,d911351b1119cc41893bbf9b37d9270e59fb62d352edb63e654ce3bf05d46dbe,de1e7f1a818b1e7296c8459f246c6ce54c070f465d06dd3b3fe0b45ba9a8b621,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910121.terminal.pt,286cf5220ac1244b22687654a6f8bd1b3cb2b6e76093ee0ed7ea7d0c689aca93,True,26,True,True,304ed8b981b2088e1c46ccd940852b35fe67b7e6450015cacdd306e4576010d7,3ed7191e9f2b88f638cd42ca94eb938798d23f3a970a11855e6a292e14dc7e5f,24b502059aa0f7d1920b036bf8c7eeab2f71c3f970c67a9ca4fa328d776d8c27,3d148c1ba441fbf0516e7d180cc45b37e1ca438ab800fa0163ee9cb891b5a13d,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,5b12edca3e1659497672468ab5421e18e2f8e75d0015943b1a6faf8c83d5041c,7f0cc8e651fb058523d4e7bd80e68471a92d69a330551781860a63575353fe05,c8fed2c10bca3edd9c3a5c8bbb46d0d0bb6c2c9e6b164678266ccce8f1a65f2b,5b12edca3e1659497672468ab5421e18e2f8e75d0015943b1a6faf8c83d5041c,True,0.0,e3f66ddf851acfcdea2cdc048277e7a0790485a1268e7c39f955883eacc750ab,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910141,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,920,0.42054409073012256,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910141.npz,91d07a8e842c0f82edbc28023b7b929984f3626302c2487001afd7908ad9fd6b,e051cf1ff7bbc97bfbf54de7be610e70182e9b333b489a9ae6f6be6a0f5655d4,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910141.terminal.pt,1a84af9e020f928d828d95a6e479ca06796778f59b56f391a9e5ee912640ef36,True,26,True,True,63fa53f89fde7d5474c08d494aedad3906cd3ef456681608855147181e4110b2,a0ed4b8fee66c37e1e4cffe4866511b5099bfc70ea164a87121ad7df8ef0bac9,7f814d1815282b20e508533db9cf16c83d7b0f42d9dd5b657574b9ee783010ce,a3401e8741fbac3e2807e02dc6aefb0659e3c6a032fc9e01ee6c50a8761033cd,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,c3d6c08d4b7afdf8fbdf572a44b0bbfe16356022251f6f3e599d53ce5cb13d68,16b4448a5e3b367e1078d444dbcf70bdbffcf389b9eef9ab2522380cb607cf00,f812645954facf4222dccda19824fb7e05dc53fa2535e582b52554e669b53dec,c3d6c08d4b7afdf8fbdf572a44b0bbfe16356022251f6f3e599d53ce5cb13d68,True,0.0,6a8350fbd0df0a755e0bf82cbcb22985838ab05186b19c7227f65e65f1b98f00,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910153,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,600,0.41932260868571036,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910153.npz,af569db7410231dcea7915af266d66976657c6b239f7e89072e28a172e4ce4a8,c3b14a466cd4cdba9d6748cfa440c7e1c8817054e49348488645eae84474d4c0,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910153.terminal.pt,44dd8414ef30b5588eb8b21ec057a258381a0f5db6a970f269dd18c0343f965f,True,26,True,True,49492a8a273f01689b153f0f02bfecdfce9eb3c3fe4a0ab512821c3a5d6401f6,ccb0124827ab145e72989b6f0aebb8f4d261f8e39cd2f52e75aed066b72cce2b,d668e8b7005f141a0fd23a5d0786c2d36e7118380d59388705cfc003ac62deba,07b67ffe8a270f3f4f917cbdd9370f9e6a9e217e1a45f2970af1baf7c369b1ee,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,2d2197a8a56abc461699d6d4128d45d7ac888ff043047532d55b65bf573a316c,45d169e062dbb09e60c8bee9c4a7c7647dcbdb5570b11672a0a0c28d3c7dc345,7a0d45f5052fc705dbec8b8b04ddd32d17f7dd800c5cdbbd1d9f8b21c8247177,2d2197a8a56abc461699d6d4128d45d7ac888ff043047532d55b65bf573a316c,True,0.0,29b385faebeff5678eb222e56bd129ce32d608582f93ef067945034d035ccd07,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910157,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,760,0.41818260366425397,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910157.npz,38de164836854019f60626ce74bcb30550a601b148c585bcc7f25237677d47f9,79b8ced5d810ee4995c597d8024e0d963df15018a72ef9fbb3dac361b30c5047,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910157.terminal.pt,2d7c21ec13dc3360421b041dccf2fae5bcb2d0d7b732c6b2fcde1be4ffd054ff,True,26,True,True,8d4aad3ad2038a3f4a9f5735771ee115f0f2a6a3a189333cc3dbc7f58006958b,83f1233cb209d1282663e9ee89b15f33d6a2743edbd47d31337b1cb2f97f208c,006d6706af97d528ca29502501bb50e47e90c621294a350d53ab2ff18342ce46,f98704e07c232d8a38254d0c11f0bff759e44703444cd3888debbc3a74ec1043,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,8ac434d6abb6f7c11332a78be1f50f9c5e0e726282073fab19a8a3ff92c4aff6,07af56719b904f436c459743e5361c36a421e9481ec30d5ad7795342044f844e,58d4b211894c35927965bc94d9cdff176a7d4cf7c7499a698bcb10693c0e3610,8ac434d6abb6f7c11332a78be1f50f9c5e0e726282073fab19a8a3ff92c4aff6,True,0.0,0fed08a750ff5e5e98f700c9e5fd02b6589d1d872bfe7f9db0d0759081216dab,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910171,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,800,0.3968062785388462,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910171.npz,3940c6f5f9eab3c95cb29da0154b990ddf70f12ceb527631988347cf9cab78f8,aa9fddcfa20d11e05cc86f2515a8675ae17dff88c7dd6910e57e5ea49d916936,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910171.terminal.pt,249c0ae5487b8b84646a0d4c375a92d38cd7e9334e25e7e35e013ca793c9e080,True,26,True,True,4b0ce470f25eb48598bd11dab144b892c9fcda126c1b00b1a1b1e0f7e1816d65,896a57e4b4386a3ef0cbd11ead04dc3547d8a620e3ea1e107582d17821001c79,862e741fce4c002f1bb99d0fedf43c1fd450d8c43382fb8ac1cee216112b946e,7d36d5eae7da33981f336932945601d4790e1363a2e373e4d6bb2abc1d836efd,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,bd22343510f4a2da42a2c8de94abe41c146af34c109cc3efe71b6ba1df908820,c9be44754ddebcf809d8c01464eeac197603351f74c824de27663acc559f3464,c43699d7f0dc5adaed05fa7174342b7c41146e1f551e32aa15bb3ed93b687c9f,bd22343510f4a2da42a2c8de94abe41c146af34c109cc3efe71b6ba1df908820,True,0.0,260624b6ec6b0e84cc7a702b23184ade0392e0346f909013064fbea4805f7b6e,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
mf,910177,DENSE256-DENSE256-OUT15-LATEST-OUTCOME,70159,1000,8000,760,0.4151924678646139,False,docs/t9_1_3_puviani_agents/mf/mf_seed_910177.npz,d4f9fc5db3507f5d648fca9730ca21d152a15e5b5c3c6262020044c90611eade,ee825679308e7caae4ffd8dcf589f6781d2a732e901cbcdb8f3f6e08e845df75,True,docs/t9_1_3_puviani_agents/mf/mf_seed_910177.terminal.pt,a1f32031349400cbeff93001cba45c8de8d31e88a16ea2cf883bcee40c0d3c56,True,26,True,True,101a613dbceee906cbc890a60c8c5dca3d11112ec94401c0ee5287b833539a83,83ac37ea35948a1d9971f30928b34d0ff011ee7e989ba83ebc53b6480ce96179,2623e7cc536759956b316165beff5ac478688e0094aee7344328007465b56db9,2925ce0610c28d7687e4f684d55b0f42be4c68768b977ef127831be3a1f128db,23886f9983174f86a842d98b4ab14e72b3eb19a61544a2646cd2d1ff79dad4c4,cf96dab4220b13108cacc9e531b07bf508d8af054fad552c54bc41d0394dd9e2,9bc2743255d626ced151e5d1bed32484be03ec70cd03d640c6415d37443cd311,1a61669529c632e6c5374cbfc43bed35068744e00b8c9a41292751539a6bd126,cf96dab4220b13108cacc9e531b07bf508d8af054fad552c54bc41d0394dd9e2,True,0.0,087e2e1dc9398d67ac35c481c532dd41e459fecb444a2f533cc114e5b9144a5c,b61603515e00c19af1806db647cea45c9b4c08c345c71827a81aa9de93e9ebdf,36a26f0c39e1d3c89c2bf59116443063cca90f159e268296e74f924e53a8b5aa,TRAINING_LAUNCH,d3beb5a9-fecc-4609-ab33-f5772f38ea2b,GPU-f4c0c19a-b5aa-1396-3391-77e905541a36,NVIDIA GeForce RTX 4070 Laptop GPU,8188,2026-07-23T12:09:04.8794126Z,2026-07-23T12:09:49.8924127Z,NONE
